Interpolation Weights at RHO-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indxO   indxR    XIdgO       XIrg      XIdgR     Jdg   indxT    ETAdgO     ETArg      ETAdgT 
0000057  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    38    2810    2811   37.50000   37.50000   38.50000    34    2894   33.50000   33.83333   34.50000
0000058  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    38    2810    2811   37.50000   37.83333   38.50000    34    2894   33.50000   33.83333   34.50000
0000059  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    38    2810    2811   37.50000   38.16667   38.50000    34    2894   33.50000   33.83333   34.50000
0000060  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    39    2811    2812   38.50000   38.50000   39.50000    34    2895   33.50000   33.83333   34.50000
0000061  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    39    2811    2812   38.50000   38.83333   39.50000    34    2895   33.50000   33.83333   34.50000
0000062  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    39    2811    2812   38.50000   39.16667   39.50000    34    2895   33.50000   33.83333   34.50000
0000063  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    40    2812    2813   39.50000   39.50000   40.50000    34    2896   33.50000   33.83333   34.50000
0000064  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    40    2812    2813   39.50000   39.83333   40.50000    34    2896   33.50000   33.83333   34.50000
0000065  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    40    2812    2813   39.50000   40.16667   40.50000    34    2896   33.50000   33.83333   34.50000
0000066  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    41    2813    2814   40.50000   40.50000   41.50000    34    2897   33.50000   33.83333   34.50000
0000067  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    41    2813    2814   40.50000   40.83333   41.50000    34    2897   33.50000   33.83333   34.50000
0000068  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    41    2813    2814   40.50000   41.16667   41.50000    34    2897   33.50000   33.83333   34.50000
0000069  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    42    2814    2815   41.50000   41.50000   42.50000    34    2898   33.50000   33.83333   34.50000
0000070  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    42    2814    2815   41.50000   41.83333   42.50000    34    2898   33.50000   33.83333   34.50000
0000071  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    42    2814    2815   41.50000   42.16667   42.50000    34    2898   33.50000   33.83333   34.50000
0000072  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    43    2815    2816   42.50000   42.50000   43.50000    34    2899   33.50000   33.83333   34.50000
0000073  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    43    2815    2816   42.50000   42.83333   43.50000    34    2899   33.50000   33.83333   34.50000
0000074  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    43    2815    2816   42.50000   43.16667   43.50000    34    2899   33.50000   33.83333   34.50000
0000075  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    44    2816    2817   43.50000   43.50000   44.50000    34    2900   33.50000   33.83333   34.50000
0000076  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    44    2816    2817   43.50000   43.83333   44.50000    34    2900   33.50000   33.83333   34.50000
0000077  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    44    2816    2817   43.50000   44.16667   44.50000    34    2900   33.50000   33.83333   34.50000
0000078  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    45    2817    2818   44.50000   44.50000   45.50000    34    2901   33.50000   33.83333   34.50000
0000079  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    45    2817    2818   44.50000   44.83333   45.50000    34    2901   33.50000   33.83333   34.50000
0000080  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    45    2817    2818   44.50000   45.16667   45.50000    34    2901   33.50000   33.83333   34.50000
0000081  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    46    2818    2819   45.50000   45.50000   46.50000    34    2902   33.50000   33.83333   34.50000
0000082  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    46    2818    2819   45.50000   45.83333   46.50000    34    2902   33.50000   33.83333   34.50000
0000083  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    46    2818    2819   45.50000   46.16667   46.50000    34    2902   33.50000   33.83333   34.50000
0000084  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    47    2819    2820   46.50000   46.50000   47.50000    34    2903   33.50000   33.83333   34.50000
0000085  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    47    2819    2820   46.50000   46.83333   47.50000    34    2903   33.50000   33.83333   34.50000
0000086  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    47    2819    2820   46.50000   47.16667   47.50000    34    2903   33.50000   33.83333   34.50000
0000087  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    48    2820    2821   47.50000   47.50000   48.50000    34    2904   33.50000   33.83333   34.50000
0000088  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    48    2820    2821   47.50000   47.83333   48.50000    34    2904   33.50000   33.83333   34.50000
0000089  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    48    2820    2821   47.50000   48.16667   48.50000    34    2904   33.50000   33.83333   34.50000
0000090  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    49    2821    2822   48.50000   48.50000   49.50000    34    2905   33.50000   33.83333   34.50000
0000091  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    49    2821    2822   48.50000   48.83333   49.50000    34    2905   33.50000   33.83333   34.50000
0000092  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    49    2821    2822   48.50000   49.16667   49.50000    34    2905   33.50000   33.83333   34.50000
0000093  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    50    2822    2823   49.50000   49.50000   50.50000    34    2906   33.50000   33.83333   34.50000
0000094  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    50    2822    2823   49.50000   49.83333   50.50000    34    2906   33.50000   33.83333   34.50000
0000095  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    50    2822    2823   49.50000   50.16667   50.50000    34    2906   33.50000   33.83333   34.50000
0000096  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    51    2823    2824   50.50000   50.50000   51.50000    34    2907   33.50000   33.83333   34.50000
0000097  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    51    2823    2824   50.50000   50.83333   51.50000    34    2907   33.50000   33.83333   34.50000
0000098  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    51    2823    2824   50.50000   51.16667   51.50000    34    2907   33.50000   33.83333   34.50000
0000099  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    52    2824    2825   51.50000   51.50000   52.50000    34    2908   33.50000   33.83333   34.50000
0000100  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    52    2824    2825   51.50000   51.83333   52.50000    34    2908   33.50000   33.83333   34.50000
0000101  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    52    2824    2825   51.50000   52.16667   52.50000    34    2908   33.50000   33.83333   34.50000
0000102  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    53    2825    2826   52.50000   52.50000   53.50000    34    2909   33.50000   33.83333   34.50000
0000103  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    53    2825    2826   52.50000   52.83333   53.50000    34    2909   33.50000   33.83333   34.50000
0000104  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    53    2825    2826   52.50000   53.16667   53.50000    34    2909   33.50000   33.83333   34.50000
0000105  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    54    2826    2827   53.50000   53.50000   54.50000    34    2910   33.50000   33.83333   34.50000
0000106  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    54    2826    2827   53.50000   53.83333   54.50000    34    2910   33.50000   33.83333   34.50000
0000107  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    54    2826    2827   53.50000   54.16667   54.50000    34    2910   33.50000   33.83333   34.50000
0000108  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    55    2827    2828   54.50000   54.50000   55.50000    34    2911   33.50000   33.83333   34.50000
0000109  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    55    2827    2828   54.50000   54.83333   55.50000    34    2911   33.50000   33.83333   34.50000
0000110  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    55    2827    2828   54.50000   55.16667   55.50000    34    2911   33.50000   33.83333   34.50000
0000111  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    56    2828    2829   55.50000   55.50000   56.50000    34    2912   33.50000   33.83333   34.50000
0000112  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    56    2828    2829   55.50000   55.83333   56.50000    34    2912   33.50000   33.83333   34.50000
0000113  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    56    2828    2829   55.50000   56.16667   56.50000    34    2912   33.50000   33.83333   34.50000
0000114  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    57    2829    2830   56.50000   56.50000   57.50000    34    2913   33.50000   33.83333   34.50000
0000115  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    57    2829    2830   56.50000   56.83333   57.50000    34    2913   33.50000   33.83333   34.50000
0000116  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    57    2829    2830   56.50000   57.16667   57.50000    34    2913   33.50000   33.83333   34.50000
0000117  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    58    2830    2831   57.50000   57.50000   58.50000    34    2914   33.50000   33.83333   34.50000
0000118  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    58    2830    2831   57.50000   57.83333   58.50000    34    2914   33.50000   33.83333   34.50000
0000119  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    58    2830    2831   57.50000   58.16667   58.50000    34    2914   33.50000   33.83333   34.50000
0000120  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    59    2831    2832   58.50000   58.50000   59.50000    34    2915   33.50000   33.83333   34.50000
0000121  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    59    2831    2832   58.50000   58.83333   59.50000    34    2915   33.50000   33.83333   34.50000
0000122  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    59    2831    2832   58.50000   59.16667   59.50000    34    2915   33.50000   33.83333   34.50000
0000123  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    60    2832    2833   59.50000   59.50000   60.50000    34    2916   33.50000   33.83333   34.50000
0000124  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    60    2832    2833   59.50000   59.83333   60.50000    34    2916   33.50000   33.83333   34.50000
0000125  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    60    2832    2833   59.50000   60.16667   60.50000    34    2916   33.50000   33.83333   34.50000
0000126  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    61    2833    2834   60.50000   60.50000   61.50000    34    2917   33.50000   33.83333   34.50000
0000127  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    61    2833    2834   60.50000   60.83333   61.50000    34    2917   33.50000   33.83333   34.50000
0000128  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00    19    2791    2792   18.50000   18.83333   19.50000    34    2875   33.50000   34.16667   34.50000
0000129  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00    19    2791    2792   18.50000   19.16667   19.50000    34    2875   33.50000   34.16667   34.50000
0000130  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00    20    2792    2793   19.50000   19.50000   20.50000    34    2876   33.50000   34.16667   34.50000
0000131  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00    20    2792    2793   19.50000   19.83333   20.50000    34    2876   33.50000   34.16667   34.50000
0000132  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00    20    2792    2793   19.50000   20.16667   20.50000    34    2876   33.50000   34.16667   34.50000
0000133  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00    21    2793    2794   20.50000   20.50000   21.50000    34    2877   33.50000   34.16667   34.50000
0000134  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00    21    2793    2794   20.50000   20.83333   21.50000    34    2877   33.50000   34.16667   34.50000
0000135  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00    21    2793    2794   20.50000   21.16667   21.50000    34    2877   33.50000   34.16667   34.50000
0000136  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00    22    2794    2795   21.50000   21.50000   22.50000    34    2878   33.50000   34.16667   34.50000
0000137  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00    22    2794    2795   21.50000   21.83333   22.50000    34    2878   33.50000   34.16667   34.50000
0000138  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00    22    2794    2795   21.50000   22.16667   22.50000    34    2878   33.50000   34.16667   34.50000
0000139  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00    23    2795    2796   22.50000   22.50000   23.50000    34    2879   33.50000   34.16667   34.50000
0000140  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00    23    2795    2796   22.50000   22.83333   23.50000    34    2879   33.50000   34.16667   34.50000
0000141  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00    23    2795    2796   22.50000   23.16667   23.50000    34    2879   33.50000   34.16667   34.50000
0000142  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00    24    2796    2797   23.50000   23.50000   24.50000    34    2880   33.50000   34.16667   34.50000
0000143  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00    24    2796    2797   23.50000   23.83333   24.50000    34    2880   33.50000   34.16667   34.50000
0000144  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00    24    2796    2797   23.50000   24.16667   24.50000    34    2880   33.50000   34.16667   34.50000
0000145  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00    25    2797    2798   24.50000   24.50000   25.50000    34    2881   33.50000   34.16667   34.50000
0000146  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00    25    2797    2798   24.50000   24.83333   25.50000    34    2881   33.50000   34.16667   34.50000
0000147  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00    25    2797    2798   24.50000   25.16667   25.50000    34    2881   33.50000   34.16667   34.50000
0000148  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00    26    2798    2799   25.50000   25.50000   26.50000    34    2882   33.50000   34.16667   34.50000
0000149  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00    26    2798    2799   25.50000   25.83333   26.50000    34    2882   33.50000   34.16667   34.50000
0000150  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00    26    2798    2799   25.50000   26.16667   26.50000    34    2882   33.50000   34.16667   34.50000
0000151  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00    27    2799    2800   26.50000   26.50000   27.50000    34    2883   33.50000   34.16667   34.50000
0000152  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00    27    2799    2800   26.50000   26.83333   27.50000    34    2883   33.50000   34.16667   34.50000
0000153  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00    27    2799    2800   26.50000   27.16667   27.50000    34    2883   33.50000   34.16667   34.50000
0000154  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00    28    2800    2801   27.50000   27.50000   28.50000    34    2884   33.50000   34.16667   34.50000
0000155  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00    28    2800    2801   27.50000   27.83333   28.50000    34    2884   33.50000   34.16667   34.50000
0000156  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00    28    2800    2801   27.50000   28.16667   28.50000    34    2884   33.50000   34.16667   34.50000
0000157  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00    29    2801    2802   28.50000   28.50000   29.50000    34    2885   33.50000   34.16667   34.50000
